numero_telefon	nom	cognom1	cognom2	data_naixament	correu_electronic
635502344	Amanda	Farley	Pena	1998-08-03	amanda_farley@gencat.edu
616648557	Cheyenne	Potter	Padilla	1949-03-13	potter_cheyenne@google.eu
638763049	Isabella	Fischer	Small	2001-05-29	fischer.isabella@institut.com
611214128	Yoshio	Graham	Albert	1977-04-15	graham.yoshio@institut.cat
674399867	Alana	Heath	Blankenship	1956-03-29	heath.alana2763@google.cat
643592642	Venus	Vaughn	Clements	1990-05-06	vaughn-venus8660@bcn.cat
645596246	Mona	Cross	Flores	1968-08-24	m_cross@google.com
638947648	Jacqueline	Case	Ramirez	1942-12-15	case.jacqueline@educacio.com
667243896	Avram	Joyner	Santos	1943-10-18	a.joyner3943@govern.eu
676531252	Price	Stephens	David	1986-02-06	pricestephens@gencat.com
625645263	Preston	Pierce	Mcgee	1968-06-09	piercepreston1906@govern.com
694550831	Abdul	Wilkerson	Wynn	1965-10-28	wilkerson-abdul5499@govern.com
660636747	Clarke	Sloan	Lamb	1999-10-20	clarke_sloan@educacio.eu
679847417	Robin	Vargas	Atkins	1951-08-14	robin_vargas@educacio.edu
695494982	Akeem	Adkins	Gordon	1994-09-02	a-adkins2583@govern.eu
631833336	Wade	Vance	Jones	1951-08-21	vwade9629@institut.eu
618178425	Joel	Jordan	Rose	1943-05-12	joel_jordan@gencat.cat
637484524	Hammett	Hoover	Washington	1994-10-29	h-hoover5419@google.eu
683027866	Lillith	Small	Salas	1951-12-23	smalllillith6238@educacio.cat
687689435	Deanna	Sargent	Mcneil	1984-01-07	sdeanna6141@educacio.com
607164652	Yvonne	Jenkins	Potts	1954-10-19	yvonne_jenkins2906@gencat.cat
601822816	Rogan	Mclaughlin	Ross	1997-12-27	r.mclaughlin721@bcn.com
663742452	Lara	Davidson	Newton	2001-08-11	lara-davidson@educacio.eu
673476186	Briar	Guerra	Palmer	1957-01-18	briarguerra8065@institut.edu
674459638	Uma	Lamb	Irwin	1971-07-12	lamb.uma945@bcn.com
623737014	Xavier	Vargas	Simpson	1989-06-16	v-xavier@educacio.eu
642313557	Anthony	Raymond	Aguilar	1985-05-22	a-raymond4353@google.com
623912817	Ariel	Ray	Wright	1970-04-11	aray3995@google.eu
616831363	Lenore	Fowler	Douglas	1959-12-07	lfowler@institut.edu
