604283806	David	Martínez	García	1951-09-09	d.martínez@educacio.eu
639415563	Àfrica Martina	Cardona	Gilbert	1960-08-17	à.cardona@institut.edu
630858271	Bàrbara	Pons	Giner	1940-07-20	b.pons@educacio.com
609452732	Antonio	Cabrera	Gómez	1943-06-08	a.cabrera@educacio.com
666630379	Eduard	Vicente	Gómez	1988-10-24	e.vicente@bcn.cat
672132218	Alba	Segura	Gomila	1975-03-28	a.segura@gencat.cat
682878716	Alba	Alarcón	González	1967-06-14	a.alarcón@bcn.cat
637330562	Alexander Guillem	Román	González	1991-08-08	a.román@institut.edu
671923582	Elsa	Hermida	González	1977-02-18	e.hermida@govern.cat
671557924	Àgata	Peñalver	Grau	1966-01-14	à.peñalver@bcn.cat
644492334	Ana	Guilera	Guerendiain	1978-11-24	a.guilera@educacio.eu
647356630	Cristina	Castells	Guiu	1994-01-11	c.castells@govern.cat
645926355	Elisenda	Alamany	Gutierrez	1958-03-24	e.alamany@educacio.com
640179187	Antonio	Fortes	Gutiérrez	1976-12-28	a.fortes@govern.cat
686527062	David	Pequeño	Gutiérrez	1959-04-09	d.pequeño@educacio.eu
685297219	David	Martínez	Herrera	1956-11-10	d.martínez@educacio.com
612749328	Alberto	Lacasta	Huelin	1987-01-20	a.lacasta@institut.edu
632644156	Daniel	Ruiz	Huertas	1952-01-13	d.ruiz@bcn.cat
688178222	Alejandro	Guerrero	Jiménez	1944-02-05	a.guerrero@bcn.cat
629233990	Eduard	Vilarrubí	Jordà	1967-12-05	e.vilarrubí@institut.edu
683371033	Arnau	Vives	Juan	1954-07-23	a.vives@educacio.com
665619696	Antonio	Muñoz	Juncosa	1941-11-11	a.muñoz@educacio.eu
669256744	Emma	Deusdat	Lahoz	1995-08-11	e.deusdat@govern.cat
686597644	Esther	Paez	López	1962-03-15	e.paez@educacio.edu
612175489	Alexandra	López	Lorente	1974-07-24	a.lópez@educacio.edu
620973593	Emili	Rubió	Lorenzo	1983-04-14	e.rubió@bcn.cat
676667713	Carlos	Oliva	Lucio	1971-03-06	c.oliva@govern.cat
698180458	Carles	Benito	Lupiáñez	1983-12-27	c.benito@gencat.cat
646565469	Carles	Mestres	March	1982-01-20	c.mestres@govern.cat
667357476	César	Millán	Marfil	1972-04-24	c.millán@educacio.edu
635502344	Christopher	Casas	Martínez	1998-08-03	c.casas@bcn.cat
616648557	Alberto	Ricart	Masclans	1949-03-13	a.ricart@educacio.edu
638763049	Alejandro	Muñoz	Mateos	2001-05-29	a.muñoz@educacio.edu
611214128	Ancor	Mesa	Méndez	1977-04-15	a.mesa@bcn.cat
674399867	Albert	Dalmau	Miranda	1956-03-29	a.dalmau@bcn.cat
643592642	Albert	Lozano	Molet	1990-05-06	a.lozano@educacio.com
645596246	Adrián	Sánchez	Morales	1968-08-24	a.sánchez@educacio.edu
638947648	Alba	Calpe	Navarro	1942-12-15	a.calpe@bcn.cat
667243896	Elvira	Dyangani	Oser	1943-10-18	e.dyangani@govern.cat
676531252	David	Paredes	Pelejà	1986-02-06	d.paredes@bcn.cat
625645263	Albert	Deusedes	Perelló	1968-06-09	a.deusedes@institut.edu
694550831	Albert	Torelló	Pérez	1965-10-28	a.torelló@bcn.cat
660636747	Alberto	Álvarez	Pérez	1999-10-20	a.álvarez@educacio.edu
679847417	Antoni	Fernández	Pérez	1951-08-14	a.fernández@educacio.com
695494982	Eduard	Cuscó	Puigdellívol	1994-09-02	e.cuscó@gencat.cat
631833336	Antonio	Verdera	Puntí	1951-08-21	a.verdera@institut.edu
618178425	Adrià	Ventura	Ramos	1943-05-12	a.ventura@educacio.com
637484524	Andreu	Parera	Ribera	1994-10-29	a.parera@educacio.eu
683027866	Esther	Miralles	Ripoll	1951-12-23	e.miralles@educacio.com
687689435	David	Frontela	Risueño	1984-01-07	d.frontela@educacio.eu
607164652	Antonio Jesús	Jiménez	Rodríguez	1954-10-19	a.jiménez@educacio.com
601822816	David	Escudé	Rodríguez	1997-12-27	d.escudé@bcn.cat
663742452	Elisa	Miralles	Rodríguez	2001-08-11	e.miralles@gencat.cat
673476186	Andreu	Francisco	Roger	1957-01-18	a.francisco@institut.edu
674459638	David	Puértolas	Roman	1971-07-12	d.puértolas@educacio.com
623737014	Diana María	Gutiérrez	Rudas	1989-06-16	d.gutiérrez@educacio.edu
642313557	Antoni	Vidal	Ruiz	1985-05-22	a.vidal@educacio.com
623912817	Cristina	Vila	Rutllant	1970-04-11	c.vila@educacio.com
616831363	Emma	Lecina	Sáenz de Buruaga	1959-12-07	e.lecina@educacio.edu
